order_month,total_orders,total_revenue,avg_item_revenue
2016-09,1,143.46,47.82
2016-10,265,48734.2,145.48
2016-12,1,19.62,19.62
2017-01,750,138323.99,141.0
2017-02,1653,286678.44,145.3
2017-03,2546,442061.0,142.69
2017-04,2303,414527.46,152.68
2017-05,3546,614885.9,142.73
2017-06,3135,518076.28,139.01
2017-07,3872,610664.84,128.0
2017-08,4193,680858.92,133.32
2017-09,4150,747363.55,148.26
2017-10,4478,789406.96,143.61
2017-11,7289,1205033.35,135.53
2017-12,5513,877710.4,135.64
2018-01,7069,1128224.39,134.03
2018-02,6555,1016818.09,129.25
2018-03,7003,1172957.65,139.9
2018-04,6798,1174190.53,144.53
2018-05,6749,1171614.43,144.41
2018-06,6099,1064996.68,145.35
2018-07,6159,1066593.79,147.67
2018-08,6351,1020340.91,138.71
