seller_id,total_orders,total_revenue
4869f7a5dfa277a7dca6462dcf3b52b2,1124,255991.88
53243585a1d6dc2643021fd1853d8905,348,253822.62
7c67e1448b00f6e969d365cea6b010ab,973,252657.95
4a3ca9315b744ce9f8e9374361493884,1772,249108.33
fa1c13f2614d7b5c4749cbc52fecda94,578,211203.59
da8622b14eb17ae2831f4ac5b9dab84a,1311,197592.4
7e93a43ef30c4f03f38b393420bc753a,319,178695.4
1025f0e2d44d7041d6cf58b6550e0bfa,910,177712.22
7a67c85e85bb2ce8582c35f2203ad736,1145,170517.37
955fee9216a65b617aa5c0531780ce60,1261,159279.51
6560211a19b47992c3666cc44a7e94c0,1819,155069.97
1f50f920176fa81dab994f9023523100,1399,148903.17
46dc3b2cc0980fb8ec44634e21d2718e,503,137772.8
a1043bafd471dff536d0c462352beb48,702,137294.97
5dceca129747e92ff8ef7a997dc4f8ca,322,133814.9
cc419e0650a3c5ba77189a1882b7556a,1651,133764.5
620c87c171fb2a6dd6e8bb4dec959fc6,722,131481.22
7d13fca15225358621be4086e1eb0964,558,129216.71
3d871de0142ce09b7081e2b9d1733cb1,1064,121115.5
edb1ef5e36e0c8cd84eb3c9b003e486d,165,85101.27
cca3071e3e9bb7d12640c9fbe2301306,699,83537.65
ccc4bbb5f32a6ab2b7066a4130f114e3,184,80021.12
f7ba60f8c3f99e7ee4042fdef03b70c4,218,77672.02
8581055ce74af1daba164fdbd55a40de,380,76680.54
fe2032dab1a61af8794248c8196565c9,293,71530.49
7ddcbb64b5bc1ef36ca8c151f6ec77df,325,67306.97
de722cd6dad950a92b7d4f82673f8833,337,65945.0
f8db351d8c4c4c22c6835c19a46f01b0,659,64876.95
37be5a7c751166fbc5f8ccba4119e043,269,64199.51
522620dcb18a6b31cd7bdf73665113a9,172,63515.88
25c5c91f63607446a97b143d2d535d31,156,62836.49
218d46b86c1881d022bce9c68a7d4b15,382,62169.23
04308b1ee57b6625f47df1d56f00eedf,92,61940.62
17e34d8224d27a541263c4c64b11a56b,247,61229.41
17f51e7198701186712e53a39c564617,56,59994.25
b2ba3715d723d245138f291a6fe42594,324,58854.93
f5a590cf36251cf1162ea35bef76fe84,113,58253.94
ceaec5548eefc6e23e6607c5435102e7,198,57891.32
77530e9772f57a62c906e1c21538ab82,312,56769.0
8160255418d5aaa7dbdc9f4c64ebda44,380,56242.17
e882b2a25a10b9c057cc49695f222c19,57,55804.69
ea8482cd71df3c1969d7b9473ff13abc,1132,55603.91
4e922959ae960d389249c378d1c939f5,412,55062.15
e9779976487b77c6d4ac45f75ec7afe9,645,53134.68
4d6d651bd7684af3fffabd5f08d12e5a,363,52881.07
c3cfdc648177fdbbbb35635a37472c53,278,51518.95
d91fb3b7d041e83b64a00a3edfb37e4f,524,51501.8
391fc6631aebcf3004804e51b40bcf1e,521,51475.5
17a053fcb14bd219540cbde0df490be0,124,50393.44
c826c40d7b19f62a09e2d7c5e7295ee2,346,50208.87
eeb6de78f79159600292e314a77cbd18,82,48700.79
